id,message
742154890804985876,-hello Cassandra
742154890804985876,"-I am not Mark, I'm Pri"
106634422022860800,-Test
742154890804985876,"-Hello, I am Pri"
106634422022860800,-Do you like mashed potato?
106634422022860800,-Are you upset that Serena stole your office?
106634422022860800,"-Okay, because Serena supremacy."
106634422022860800,-Whatâ€™s your favourite memory?
106634422022860800,-How do you feel about Serena and Reid?
106634422022860800,-Better than you
106634422022860800,-Sorry to say that my writing skills have improved a lot since I made you
